OSM_ID	Series	Assay	Value	Qualifier	PfaI EC50 (Inh)	Pfal IC50 (GSK)	Pfal IC50 (Syngene)	Pfal IC50 (Dundee)	Pfal IC50 (Avery)	Pfal (K1) IC50 (Avery)	Pfal IC50 (Ralph)	Pfal IC50 (Guy)	Pfal (K1) IC50 (Guy)	Pfal IC50 (Batra)	Pfal (K1) IC50 (Batra)	Pfal (3D7) IC50 (Broad)	Pfal (Dd2) IC50 (Broad)	Canonical_Smiles	InChIKey
OSM-E-5	1	Pfal IC50 (Dundee)	50	>				>50										CCOC(=O)COCc1cn(nn1)c2ccc(F)cc2	OAQNGCWJHOFYIG-UHFFFAOYSA-N
OSM-E-6	1	Pfal IC50 (Dundee)	50	>				>50										COC(=O)COCc1cn(nn1)c2ccc(F)cc2	MXCBYXCXBDMCMO-UHFFFAOYSA-N
OSM-E-7	1	Pfal IC50 (Dundee)	50	>				>50										Fc1ccc(cc1)n2cc(COCC(=O)OCc3cn(nn3)c4ccc(F)cc4)nn2	CWJPLXSSRWVEAF-UHFFFAOYSA-N
OSM-E-8	1	Pfal IC50 (Dundee)	50	>				>50										NC(=O)COCc1cn(nn1)c2ccc(F)cc2	XMSVYANCVZPQJL-UHFFFAOYSA-N
OSM-L-1	1	Pfal IC50 (Batra)	3.2	=										3.2	>5			Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C2=O)c4ccccc4)c(C)n1c5cccc(F)c5	URZLHIHAUACTCO-DUPRQXJUSA-N
OSM-L-1	1	Pfal (K1) IC50 (Batra)	5	>										3.2	>5			Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C2=O)c4ccccc4)c(C)n1c5cccc(F)c5	URZLHIHAUACTCO-DUPRQXJUSA-N
OSM-S-10	1	Pfal IC50 (GSK)	0.032	=		0.032			0.176	0.361	0.201							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(F)cc4	IMCPBTMVWRMBHR-MOSHPQCFSA-N
OSM-S-10	1	Pfal IC50 (Avery)	0.176	=		0.032			0.176	0.361	0.201							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(F)cc4	IMCPBTMVWRMBHR-MOSHPQCFSA-N
OSM-S-10	1	Pfal (K1) IC50 (Avery)	0.361	=		0.032			0.176	0.361	0.201							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(F)cc4	IMCPBTMVWRMBHR-MOSHPQCFSA-N
OSM-S-10	1	Pfal IC50 (Ralph)	0.201	=		0.032			0.176	0.361	0.201							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(F)cc4	IMCPBTMVWRMBHR-MOSHPQCFSA-N
OSM-S-108	1	Pfal IC50 (Avery)	1.2	=					1.2									Cc1cc(C=C2SC(=Nc3ccccc3)NC2=O)c(C)[nH]1	RARJKBCELXYZBB-UHFFFAOYSA-N
OSM-S-109	1	Pfal IC50 (Avery)	0.262	=					0.262									Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)[N+](=O)[O-]	CHHZBZWZMLCOEW-MOSHPQCFSA-N
OSM-S-110	1	Pfal IC50 (Avery)	2.3	=					2.3									Cc1cc(\C=C\2/S\C(=N/c3cccc(O)c3)\NC2=O)c(C)n1c4ccc(cc4)[N+](=O)[O-]	NAHYEQMJTBIJRP-JAIQZWGSSA-N
OSM-S-111	1	Pfal IC50 (Avery)	0.146	=					0.146			0.147	0.204					COc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	KXIVXNPEYYNDHE-STZFKDTASA-N
OSM-S-111	1	Pfal IC50 (Guy)	0.147	=					0.146			0.147	0.204					COc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	KXIVXNPEYYNDHE-STZFKDTASA-N
OSM-S-111	1	Pfal (K1) IC50 (Guy)	0.204	=					0.146			0.147	0.204					COc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	KXIVXNPEYYNDHE-STZFKDTASA-N
OSM-S-112	1	Pfal IC50 (Avery)	1.6	=					1.6									COc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4cccc(O)c4)\NC3=O)c2C	RTYHWQWUZGEAOW-MTJSOVHGSA-N
OSM-S-114	1	Pfal IC50 (Avery)	1.2	=					1.2									Cc1cc(\C=C\2/S\C(=N/c3cccc(O)c3)\NC2=O)c(C)n1c4ccccc4	ASANPQFHMMSZFH-NDENLUEZSA-N
OSM-S-115	1	Pfal IC50 (Avery)	1.8	=					1.8									Cc1cc(\C=C\2/S\C(=N/c3ccc(O)cc3)\NC2=O)c(C)n1c4ccccc4	OIEJMTDGFAFKDZ-MOSHPQCFSA-N
OSM-S-116	1	Pfal IC50 (Avery)	11	=					11									CC(OC(=O)c1cc(C)n(c1C)c2ccc(F)cc2)C(=O)N	JKLVGXNSTVWIID-UHFFFAOYSA-N
OSM-S-138	1	Pfal IC50 (Avery)	2.3	=					2.3									Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(N)cc4	HRLJSVOIZGABSH-MOSHPQCFSA-N
OSM-S-16	1	Pfal IC50 (GSK)	5	>		>5			0		0							CN1N(C(=O)C(=C1C)NC(=O)CNC(=O)c2ccccc2)c3ccccc3	URWSDMBJVGVIQC-UHFFFAOYSA-N
OSM-S-19	1	Pfal IC50 (GSK)	5	>		>5			25-80% at 80 micromolar		0							Cc1cc(C(=O)NCC(=O)N)c(C)n1c2ccc(F)cc2	NNGDJLZNBQLHHL-UHFFFAOYSA-N
OSM-S-2	1	Pfal IC50 (GSK)	5	>		>5			60% at 120 micromolar	50% at 120 micromolar	>1							Cc1cc(C=O)c(C)n1c2ccc(F)cc2	COLPZCHNJIVKMV-UHFFFAOYSA-N
OSM-S-2	1	Pfal IC50 (Ralph)	1	>		>5			60% at 120 micromolar	50% at 120 micromolar	>1							Cc1cc(C=O)c(C)n1c2ccc(F)cc2	COLPZCHNJIVKMV-UHFFFAOYSA-N
OSM-S-21	1	Pfal IC50 (GSK)	5	>		>5			31		0							CN1N(C(=O)C(=C1C)NC(=O)CNC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4	RRYQCWKAZAVYJI-UHFFFAOYSA-N
OSM-S-21	1	Pfal IC50 (Avery)	31	=		>5			31		0							CN1N(C(=O)C(=C1C)NC(=O)CNC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4	RRYQCWKAZAVYJI-UHFFFAOYSA-N
OSM-S-3	1	Pfal IC50 (GSK)	5	>		>5			11.96	12.4	>1							CCOC(=O)c1cc(C)n(c1C)c2ccc(F)cc2	BFRWWAGLFICHEG-UHFFFAOYSA-N
OSM-S-3	1	Pfal IC50 (Avery)	11.96	=		>5			11.96	12.4	>1							CCOC(=O)c1cc(C)n(c1C)c2ccc(F)cc2	BFRWWAGLFICHEG-UHFFFAOYSA-N
OSM-S-3	1	Pfal (K1) IC50 (Avery)	12.4	=		>5			11.96	12.4	>1							CCOC(=O)c1cc(C)n(c1C)c2ccc(F)cc2	BFRWWAGLFICHEG-UHFFFAOYSA-N
OSM-S-3	1	Pfal IC50 (Ralph)	1	>		>5			11.96	12.4	>1							CCOC(=O)c1cc(C)n(c1C)c2ccc(F)cc2	BFRWWAGLFICHEG-UHFFFAOYSA-N
OSM-S-35	1	Pfal IC50 (GSK)	0.036	=		0.036; 0.012			0.026; 0.038		0.011							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccc4	QTDBAHFMTAMGMZ-ZHZULCJRSA-N
OSM-S-35	1	Pfal IC50 (GSK)	0.012	=		0.036; 0.012			0.026; 0.038		0.011							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccc4	QTDBAHFMTAMGMZ-ZHZULCJRSA-N
OSM-S-35	1	Pfal IC50 (Avery)	0.026	=		0.036; 0.012			0.026; 0.038		0.011							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccc4	QTDBAHFMTAMGMZ-ZHZULCJRSA-N
OSM-S-35	1	Pfal IC50 (Avery)	0.038	=		0.036; 0.012			0.026; 0.038		0.011							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccc4	QTDBAHFMTAMGMZ-ZHZULCJRSA-N
OSM-S-35	1	Pfal IC50 (Ralph)	0.011	=		0.036; 0.012			0.026; 0.038		0.011							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccc4	QTDBAHFMTAMGMZ-ZHZULCJRSA-N
OSM-S-37	1	Pfal IC50 (GSK)	0.028	=		0.028; 0.015			0.015		0.009	0.161	0.176					Cc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	XCTPMKNSBDOHRB-STZFKDTASA-N
OSM-S-37	1	Pfal IC50 (GSK)	0.015	=		0.028; 0.015			0.015		0.009	0.161	0.176					Cc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	XCTPMKNSBDOHRB-STZFKDTASA-N
OSM-S-37	1	Pfal IC50 (Avery)	0.015	=		0.028; 0.015			0.015		0.009	0.161	0.176					Cc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	XCTPMKNSBDOHRB-STZFKDTASA-N
OSM-S-37	1	Pfal IC50 (Ralph)	0.009	=		0.028; 0.015			0.015		0.009	0.161	0.176					Cc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	XCTPMKNSBDOHRB-STZFKDTASA-N
OSM-S-37	1	Pfal IC50 (Guy)	0.161	=		0.028; 0.015			0.015		0.009	0.161	0.176					Cc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	XCTPMKNSBDOHRB-STZFKDTASA-N
OSM-S-37	1	Pfal (K1) IC50 (Guy)	0.176	=		0.028; 0.015			0.015		0.009	0.161	0.176					Cc1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	XCTPMKNSBDOHRB-STZFKDTASA-N
OSM-S-38	1	Pfal IC50 (GSK)	0.029	=		0.029			0.002		0.205							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)C(F)(F)F	YBBWTVGRVHTTDD-MOSHPQCFSA-N
OSM-S-38	1	Pfal IC50 (Avery)	0.002	=		0.029			0.002		0.205							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)C(F)(F)F	YBBWTVGRVHTTDD-MOSHPQCFSA-N
OSM-S-38	1	Pfal IC50 (Ralph)	0.205	=		0.029			0.002		0.205							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)C(F)(F)F	YBBWTVGRVHTTDD-MOSHPQCFSA-N
OSM-S-39	1	Pfal IC50 (GSK)	0.007	=		0.007; 0.121			0.001		0.005							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4cc(cc(c4)C(F)(F)F)C(F)(F)F	GVGNOLWIUGQIHW-UKWGHVSLSA-N
OSM-S-39	1	Pfal IC50 (GSK)	0.121	=		0.007; 0.121			0.001		0.005							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4cc(cc(c4)C(F)(F)F)C(F)(F)F	GVGNOLWIUGQIHW-UKWGHVSLSA-N
OSM-S-39	1	Pfal IC50 (Avery)	0.001	=		0.007; 0.121			0.001		0.005							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4cc(cc(c4)C(F)(F)F)C(F)(F)F	GVGNOLWIUGQIHW-UKWGHVSLSA-N
OSM-S-39	1	Pfal IC50 (Ralph)	0.005	=		0.007; 0.121			0.001		0.005							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4cc(cc(c4)C(F)(F)F)C(F)(F)F	GVGNOLWIUGQIHW-UKWGHVSLSA-N
OSM-S-4	1	Pfal IC50 (GSK)	5	>		>5			75% at 120 micromolar	50% at 120 micromolar	>1							Cc1cc(C(=O)O)c(C)n1c2ccc(F)cc2	UHSNGSYVRLIXCX-UHFFFAOYSA-N
OSM-S-4	1	Pfal IC50 (Ralph)	1	>		>5			75% at 120 micromolar	50% at 120 micromolar	>1							Cc1cc(C(=O)O)c(C)n1c2ccc(F)cc2	UHSNGSYVRLIXCX-UHFFFAOYSA-N
OSM-S-42	1	Pfal IC50 (GSK)	5	>		>5			nd		0							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(CC#N)C2=O)c(C)n1c4ccc(cc4)C(F)(F)F	CYTCJKBOZWMCAR-LIOGHISXSA-N
OSM-S-43	1	Pfal IC50 (GSK)	5	>		>5			3.12		0							Cc1cc(\C=C\2/SC(=NC2=O)N(CC#N)c3ccccc3)c(C)n1c4ccc(cc4)C(F)(F)F	ZNJGLEUSFVBSML-JCMHNJIXSA-N
OSM-S-43	1	Pfal IC50 (Avery)	3.12	=		>5			3.12		0							Cc1cc(\C=C\2/SC(=NC2=O)N(CC#N)c3ccccc3)c(C)n1c4ccc(cc4)C(F)(F)F	ZNJGLEUSFVBSML-JCMHNJIXSA-N
OSM-S-45	1	Pfal IC50 (GSK)	0.026	=		0.026			0.012		0.008							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(cc3)C(F)(F)F)\S1)c4ccccc4	KOJDOQBSBJSPKC-HMAPJEAMSA-N
OSM-S-45	1	Pfal IC50 (Avery)	0.012	=		0.026			0.012		0.008							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(cc3)C(F)(F)F)\S1)c4ccccc4	KOJDOQBSBJSPKC-HMAPJEAMSA-N
OSM-S-45	1	Pfal IC50 (Ralph)	0.008	=		0.026			0.012		0.008							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(cc3)C(F)(F)F)\S1)c4ccccc4	KOJDOQBSBJSPKC-HMAPJEAMSA-N
OSM-S-48	1	Pfal IC50 (GSK)	0.267	=		0.267			0.169		0.339							CCOC(=O)c1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	RDXBLRRUYBTFEI-JCMHNJIXSA-N
OSM-S-48	1	Pfal IC50 (Avery)	0.169	=		0.267			0.169		0.339							CCOC(=O)c1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	RDXBLRRUYBTFEI-JCMHNJIXSA-N
OSM-S-48	1	Pfal IC50 (Ralph)	0.339	=		0.267			0.169		0.339							CCOC(=O)c1ccc(cc1)n2c(C)cc(\C=C\3/S\C(=N/c4ccccc4)\NC3=O)c2C	RDXBLRRUYBTFEI-JCMHNJIXSA-N
OSM-S-49	1	Pfal IC50 (GSK)	0.085	=		0.085			0.063		0.028							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccccc3)\S1)c4ccccc4	HYCHBJJSXVXDSY-JCMHNJIXSA-N
OSM-S-49	1	Pfal IC50 (Avery)	0.063	=		0.085			0.063		0.028							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccccc3)\S1)c4ccccc4	HYCHBJJSXVXDSY-JCMHNJIXSA-N
OSM-S-49	1	Pfal IC50 (Ralph)	0.028	=		0.085			0.063		0.028							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccccc3)\S1)c4ccccc4	HYCHBJJSXVXDSY-JCMHNJIXSA-N
OSM-S-5	1	Pfal IC50 (GSK)	0.818	=		0.818; 0.177			0.404	0.375	0.61			0.581	0.641			Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2	YSUCFIZUNLQZDX-UHFFFAOYSA-N
OSM-S-5	1	Pfal IC50 (GSK)	0.177	=		0.818; 0.177			0.404	0.375	0.61			0.581	0.641			Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2	YSUCFIZUNLQZDX-UHFFFAOYSA-N
OSM-S-5	1	Pfal IC50 (Avery)	0.404	=		0.818; 0.177			0.404	0.375	0.61			0.581	0.641			Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2	YSUCFIZUNLQZDX-UHFFFAOYSA-N
OSM-S-5	1	Pfal (K1) IC50 (Avery)	0.375	=		0.818; 0.177			0.404	0.375	0.61			0.581	0.641			Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2	YSUCFIZUNLQZDX-UHFFFAOYSA-N
OSM-S-5	1	Pfal IC50 (Ralph)	0.61	=		0.818; 0.177			0.404	0.375	0.61			0.581	0.641			Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2	YSUCFIZUNLQZDX-UHFFFAOYSA-N
OSM-S-5	1	Pfal IC50 (Batra)	0.581	=		0.818; 0.177			0.404	0.375	0.61			0.581	0.641			Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2	YSUCFIZUNLQZDX-UHFFFAOYSA-N
OSM-S-5	1	Pfal (K1) IC50 (Batra)	0.641	=		0.818; 0.177			0.404	0.375	0.61			0.581	0.641			Cc1cc(C(=O)OCC(=O)N)c(C)n1c2ccc(F)cc2	YSUCFIZUNLQZDX-UHFFFAOYSA-N
OSM-S-50	1	Pfal IC50 (GSK)	0.025	=		0.025			0.326		0.156							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(C)cc3)\S1)c4ccccc4	RZFIAJJLMRMIBB-HAHDFKILSA-N
OSM-S-50	1	Pfal IC50 (Avery)	0.326	=		0.025			0.326		0.156							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(C)cc3)\S1)c4ccccc4	RZFIAJJLMRMIBB-HAHDFKILSA-N
OSM-S-50	1	Pfal IC50 (Ralph)	0.156	=		0.025			0.326		0.156							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(C)cc3)\S1)c4ccccc4	RZFIAJJLMRMIBB-HAHDFKILSA-N
OSM-S-51	1	Pfal IC50 (GSK)	0.309	=		0.309; 0.048			0.307		0.442							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccn4	WFGBKPBKZGJAHY-AQTBWJFISA-N
OSM-S-51	1	Pfal IC50 (GSK)	0.048	=		0.309; 0.048			0.307		0.442							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccn4	WFGBKPBKZGJAHY-AQTBWJFISA-N
OSM-S-51	1	Pfal IC50 (Avery)	0.307	=		0.309; 0.048			0.307		0.442							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccn4	WFGBKPBKZGJAHY-AQTBWJFISA-N
OSM-S-51	1	Pfal IC50 (Ralph)	0.442	=		0.309; 0.048			0.307		0.442							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccccn4	WFGBKPBKZGJAHY-AQTBWJFISA-N
OSM-S-52	1	Pfal IC50 (GSK)	0.372	=		0.372			0.054		0.485							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C2=O)c4ccccc4)c(C)n1c5ccc(cc5)C(F)(F)F	SACGGTIRNSKYBF-QVWDHFDZSA-N
OSM-S-52	1	Pfal IC50 (Avery)	0.054	=		0.372			0.054		0.485							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C2=O)c4ccccc4)c(C)n1c5ccc(cc5)C(F)(F)F	SACGGTIRNSKYBF-QVWDHFDZSA-N
OSM-S-52	1	Pfal IC50 (Ralph)	0.485	=		0.372			0.054		0.485							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C2=O)c4ccccc4)c(C)n1c5ccc(cc5)C(F)(F)F	SACGGTIRNSKYBF-QVWDHFDZSA-N
OSM-S-54	1	Pfal IC50 (GSK)	0.276	=		0.276			0.034		0.52							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C4CCCC4)C2=O)c(C)n1c5ccc(cc5)C(F)(F)F	BDDWBUPMEFMPPN-BUWRXKIYSA-N
OSM-S-54	1	Pfal IC50 (Avery)	0.034	=		0.276			0.034		0.52							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C4CCCC4)C2=O)c(C)n1c5ccc(cc5)C(F)(F)F	BDDWBUPMEFMPPN-BUWRXKIYSA-N
OSM-S-54	1	Pfal IC50 (Ralph)	0.52	=		0.276			0.034		0.52							Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\N(C4CCCC4)C2=O)c(C)n1c5ccc(cc5)C(F)(F)F	BDDWBUPMEFMPPN-BUWRXKIYSA-N
OSM-S-55	1	Pfal IC50 (GSK)	5	>		>5			100% at 40 micromolar		0							O=C1N\C(=N\c2ccccc2)\S/C/1=C\c3ccccc3	AXMGOWZVQOLCDR-KAMYIIQDSA-N
OSM-S-6	1	Pfal IC50 (GSK)	0.245	=		0.245			0.345	0.152	0.387							CN1N(C(=O)C(=C1C)NC(=O)COC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4	OFHDGHFNTKVFPI-UHFFFAOYSA-N
OSM-S-6	1	Pfal IC50 (Avery)	0.345	=		0.245			0.345	0.152	0.387							CN1N(C(=O)C(=C1C)NC(=O)COC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4	OFHDGHFNTKVFPI-UHFFFAOYSA-N
OSM-S-6	1	Pfal (K1) IC50 (Avery)	0.152	=		0.245			0.345	0.152	0.387							CN1N(C(=O)C(=C1C)NC(=O)COC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4	OFHDGHFNTKVFPI-UHFFFAOYSA-N
OSM-S-6	1	Pfal IC50 (Ralph)	0.387	=		0.245			0.345	0.152	0.387							CN1N(C(=O)C(=C1C)NC(=O)COC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4	OFHDGHFNTKVFPI-UHFFFAOYSA-N
OSM-S-7	1	Pfal IC50 (GSK)	5	>		>5			7.8	4.6	0							Cc1cc(C(=O)N(C2CCCCC2)C(=O)NC3CCCCC3)c(C)n1c4ccc(F)cc4	RLPVOMUFRGFVJT-UHFFFAOYSA-N
OSM-S-7	1	Pfal IC50 (Avery)	7.8	=		>5			7.8	4.6	0							Cc1cc(C(=O)N(C2CCCCC2)C(=O)NC3CCCCC3)c(C)n1c4ccc(F)cc4	RLPVOMUFRGFVJT-UHFFFAOYSA-N
OSM-S-7	1	Pfal (K1) IC50 (Avery)	4.6	=		>5			7.8	4.6	0							Cc1cc(C(=O)N(C2CCCCC2)C(=O)NC3CCCCC3)c(C)n1c4ccc(F)cc4	RLPVOMUFRGFVJT-UHFFFAOYSA-N
OSM-S-8	1	Pfal IC50 (GSK)	5	>		>5			100% at 80 micromolar		0							CN1N(C(=O)C(=C1C)NC(=O)c2cc(C)n(c2C)c3ccc(F)cc3)c4ccccc4	NVKLEDPUHCCJRE-UHFFFAOYSA-N
OSM-S-82	1	Pfal IC50 (Avery)	9.4	=					9.4									CNC(=O)COC(=O)c1cc(C)n(c1C)c2ccc(F)cc2	FXSYKCLPBZPYNU-UHFFFAOYSA-N
OSM-S-88	1	Pfal IC50 (Avery)	14.7	=					14.7									CNC(=O)CN1CCC(CC1)NCc2cc(C)n(c2C)c3ccc(Cl)cc3	HQRQGAAJRGIERF-UHFFFAOYSA-N
OSM-S-89	1	Pfal IC50 (Avery)	24.7	=					24.7									CCNC(=O)[C@@H]1C[C@@H](N)CN1Cc2cc(C)n(c2C)c3ccccc3Cl	ZUKQHVDBUYFYRN-APWZRJJASA-N
OSM-S-9	1	Pfal IC50 (GSK)	0.047	=		0.047			0.047	0.066	0.023							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(F)cc3)\S1)c4ccccc4	WFLINPFRLHPFGO-HMAPJEAMSA-N
OSM-S-9	1	Pfal IC50 (Avery)	0.047	=		0.047			0.047	0.066	0.023							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(F)cc3)\S1)c4ccccc4	WFLINPFRLHPFGO-HMAPJEAMSA-N
OSM-S-9	1	Pfal (K1) IC50 (Avery)	0.066	=		0.047			0.047	0.066	0.023							CC(=O)N(C1=NC(=O)\C(=C\c2cc(C)n(c2C)c3ccc(F)cc3)\S1)c4ccccc4	WFLINPFRLHPFGO-HMAPJEAMSA-N
